Date,Open,High,Low,Close,Volume
2016-11-14,771.99,778.54,755.46,755.46,0
2016-11-21,761.06,764.36,758.09,762.14,0
2016-11-28,761.81,764.7,757.75,757.75,0
2016-12-05,758.38,758.38,751.84,757.61,0
2016-12-12,761.36,767.45,751.72,754.82,0
2016-12-19,765.15,769.42,741.72,741.72,0
2016-12-26,727.04,773.98,727.04,749.99,0
2017-01-02,775.89,791.49,759.72,759.72,0
2017-01-09,759.31,762.65,753.82,756.32,0
2017-01-16,751.94,766.12,751.94,758.32,0
2017-01-23,764.31,766.5,759.35,760.11,0
2017-01-30,751.58,753.01,748.53,748.53,0
2017-02-06,751.38,763.8,751.19,763.8,0
2017-02-13,764.86,768.85,760.19,768.85,0
2017-02-20,769.77,783.23,769.77,783.23,0
2017-02-27,781.25,790.94,781.25,788.48,0
2017-03-06,789.82,789.82,780.56,780.56,0
2017-03-13,774.32,778.95,773.62,776.49,0
2017-03-20,773.47,782.63,773.47,776.53,0
2017-03-27,773.93,773.93,767.9,767.9,0
2017-04-03,750.0,778.81,750.0,774.71,0
2017-04-10,767.56,767.56,746.72,759.27,0
2017-04-17,747.35,753.65,743.97,753.65,0
2017-04-24,754.65,754.65,723.19,723.19,0
2017-05-01,736.36,755.51,736.36,742.28,0
2017-05-08,743.45,746.85,737.33,737.33,0
2017-05-15,736.02,736.02,695.4,699.78,0
2017-05-22,708.76,741.05,701.59,701.59,0
2017-05-29,713.99,757.03,712.3,712.39,0
2017-06-05,700.44,743.38,700.44,708.15,0
2017-06-12,717.64,750.05,704.8,708.73,0
2017-06-19,726.6,726.6,709.84,709.84,0
2017-06-26,727.89,727.89,703.26,703.26,0
2017-07-03,711.68,735.65,711.41,717.26,0
2017-07-10,716.63,730.29,707.47,707.47,0
2017-07-17,714.5,719.24,704.64,704.64,0
2017-07-24,713.99,735.3,711.39,711.39,0
2017-07-31,713.21,719.05,713.21,715.46,0
2017-08-07,727.31,728.29,724.29,724.29,0
2017-08-14,726.88,740.23,726.09,730.13,0
2017-08-21,716.91,716.91,702.68,702.68,0
2017-08-28,705.34,708.13,705.2,708.13,0
2017-09-04,714.72,719.47,707.17,711.36,0
2017-09-11,716.78,717.03,712.12,714.07,0
2017-09-18,709.6,711.9,699.66,699.66,0
2017-09-25,697.52,700.03,696.1,698.21,0
2017-10-02,693.05,700.83,693.05,693.9,0
2017-10-09,689.93,694.64,688.26,690.28,0
2017-10-16,693.09,696.68,681.26,681.26,0
